id,text,author.id,author.public_metrics.followers_count
b'gAAAAABkk1GUPIMcnG8F44I9EdHCKqHjhe1DlxJ57obL_0uCU142TfFbXtrhGEO2bmUifcmWDop8YKrBNU7OLNrG464KhanWDpAWDv9uukavYLE1rXPbpKM=',"@BrocoLooco @jmmulet Es uno de los mayores cuñados con los que me he encontrado en Twitter. Me insultó y bloqueó porque me reí de él porque decía que los ultraprocesados veganos eran malos para el planeta y la salud humana, pero los procesados cárnicos no, justo lo contrario.",b'gAAAAABkk1GUFubvea0ZTvYDMqmVOJsETY99CQMlwoMaNkWOmXk5zfRPgmvlaVNIkItbdx9kATp208j841Mm-0kvNk2HM1ijuoa8NNLhEH3aDOUV7t3Kp5Q=',853
b'gAAAAABkk1GUXkZJagO7Ne_uFulva_o_I-UmkGv7BGEMpwA1eNLYNCFruXb3V-VU3l0SU31G8jDwUVH_F8lSzCkB35S_RJIc7ZbfmGEKk5E8CbLedK9ccO8=',"Los animales no humanos no pueden ser un complemento, tienen que ser un pilar principal, tienen que ser protagonistas. Todo el veganismo debería tirar para el mismo lado, si de verdad queremos llegar más lejos, siempre por ellos. Todo el veganismo votando por ellos, se consigue.",b'gAAAAABkk1GUx5nUOlUSSzSRzetIWZ-K08oS6yT9UbaKSW2zO9Zd0E8cSB5VNo2IirFKm1BKcuImiLzPdxwVSZm7j-ojBz1qMg==',896
b'gAAAAABkk1GU6Glra3zVbaLnhWGHRi3Uh8zDLiRN8U_YuTfywwMU2V7GEFaF_tmn7wYvKM149YUUQ5MJ2u-jzdKnAs60zHeqSao26s1IH1Np0Yf4scty59M=',"Malditxs veganxs con su evidencia empírica, datos científicos, razonamiento moral fundamentado, empatía y compasión.\n\nhttps://t.co/Jrg8Y8w7H2",b'gAAAAABkk1GU8KSmz5-vNyrh9IybCbznmK0jvCK9u9tUYpcJN6qFjOv7REuJavHvUhrU2qP4c1KOxuMZqc5eu2cIqRA8p4kfag==',1042
b'gAAAAABkk1GUT03_vECySJLt2CbRfz9_k7jTPyLM82PTPVYUmKOyOve5G5SYnMuCHx9t3358yMxs7eytfs6WX5ydcu-4eBvk38TJ-dRuO9_6cy9PudfR7aw=',"@ByronJos04 @kurotzuno @Geno74145833 Pues a mi me gusta la vegana, además que sabes que no ha muerto ningún animal.",b'gAAAAABkk1GUMTzTteK7vV1Ru1CxFFtuFsNa-4GQWN62EfG1hgPSMalH3_XTF8mYrJN8vcGS75mdh5ZJt9LPfD-W0nIOpHnoN5LzZaF--LgiBKe8WB8XyT8=',533
b'gAAAAABkk1GUbuctVXkkd03_Cmp7fzlgBfuKhJSh1TRn6RRFk5a0o92FhtnMpxfOAwWZgHns68TrpEZHFEW-CY4V9WEtOm6QpE8Iliv4z1fWP2YUcrlNDMU=',@libertad_vegana No vale de nada ser vegano y compartir algo con armesillas,b'gAAAAABkk1GUB4rNlVL1OYq8x0yLoA7u4t0zy83EGrv1QPQ-Qj2VgGFbtn1u-I6VtR6D6wRW0LmKvel0EjbBu2i2NM28PPqYgw==',162
b'gAAAAABkk1GUn_mYFp97RfKeAhHZz7pTSNjGO4r1YorbiIzCxax52g8UYxguiaTgNaDlMWnOxaMrvv5cKjEDTddbpwBD70NI3WqW9649yiL1xnpHZ44n_UI=',Los pesticidas de los veganos\nhttps://t.co/pvyspH3FrF https://t.co/jiTqitaGdf,b'gAAAAABkk1GUQ4Swu7gqpNyuT1c7r7rDQPjNc6ymzn5y7S5-6Bkr6dJBPOnkaoslF_7oGxl13bLcrcabr7BSwJWaL1-Khvs0CrGwQOISY9oOvum-GFmzna0=',480
b'gAAAAABkk1GUqKMuexCrmyEpSvGMGti13Taw3eixi9jdtlCxKWadIRWon_k2ozIqEf7BM30U2Ro2Z_GK7SdoAaInCpeFGT7qSl77x_AoXAdDtdrLHTlssEE=',"""El feminismo no debería adoptar el vegetarianismo simplemente porque es una negación del mundo dominante. Debería adoptarlo por lo que es y representa. El vegetarianismo es, de hecho, profundamente proactivo y transformador. Es también delicioso. +",b'gAAAAABkk1GUq26ZiDyceSANM8zAGGsM2QVJhHPl4632Q_HoBWGaMhSNRr17GiOsydkRhE_ItwFj72_hZFC-ATvoW8uCjZaEoQ==',2257
b'gAAAAABkk1GU66vTud2caCizFZm235fBNTSuyOFzHvBxWsXKzhkUxcB1sLnjSVBsifoDVl5PFlIWLLKG1VU-lGL9Qesz4WDpSV6QUYpGims4ZjXpG0GeN3g=',"Preguntas a ChatGPT sobre veganismo y otras cosas... 🧛‍♀️🍲⛹️‍♀️Vampiros que comen seitán, deporte y restaurantes 🖥️Todo copia y pega https://t.co/kUDhe1y9Go",b'gAAAAABkk1GUlVCWXSU1qXnJLcVAD_SwhPtlUhJISFIV0hp7_ixWAlzGQAcktq1O4onGkU8q6sgol04EDANLHp_x50b9N1ssUOzvq_8tNH2ELkeL81QT2oQ=',393
b'gAAAAABkk1GUKYeFx7ZfMzCOVHIQvDatwSaIU4-SvT-GV6saqzxARhjfgnwj1Q4mAK8m-1YDZiwbHXzxShg7crfLQU_WAs_3KOQjGjmQl42ZuQ8GsHN7bpA=',¿Quién puede seguir una dieta vegana? 👀 ¡Cualquier persona! 💚\nhttps://t.co/FJRK4SCjaN,b'gAAAAABkk1GUs19si4sQS2Yl1AR8NibML8fshQ-S8tLJ075i--ICf4nwMnxYq1W-wdRPxPnHWxh0oy3V8F8chS_wewLJiXCBeYMj5oq4HWLAMRNFJ7-rCeY=',3887
b'gAAAAABkk1GUlkztiq2mKpjRNKcSQt7lAhDBBQ03iJSpU2qbmUShllx3yty0h5TRM23Qwe7s6OEK9yNeVAWp9kueHHUsIP98bowUQa0fjcxwv5AeR2QgUyo=',@Telomerasa0406 @Greenpeace @greenpeace_esp @WWFespana @WWFnoticias @franciscoactiv2 ¡Una vegana con los ojos abiertos! Venga que cada día el mundo es mejor gracias a acciones como esta... aunqur deberías leer e investigar siempre un poquito más. Eh. Pero gracias y disfruta del veganismo.,b'gAAAAABkk1GUl4SiYNqS4XiCaK420JDxeJerwMRXCod24M-rfWVUdARSjkUD-47fw2iQ1Ii6JKsoogSGJ3eHV9VEYZoaM7MDrg==',646
b'gAAAAABkk1GUL90zNvlI3HtZcHC8FpvFmxcNQQbkd4xhlJxgCNBLyAxnDZzNMWomO0V8o7LCXp44D3mT8XSQumqddhjZXWTNY7pSfyTSngRBkqszajni6ok=',⏱️ El misterio de más de 2.300 años de los números primos https://t.co/niqtJeVW5n,b'gAAAAABkk1GU0lH7e25G5ZBdKJl9_biU_zniUUTNTNcbFHPCY7-oayW1ng-LXRqVKZm7eelVzHkvsVYBGf_rlL84Yf_pAp9aG8Nn83jUQQoJAhd9m5RPM_Q=',49505
b'gAAAAABkk1GU50YBz1Awj6hzDiAum7sAuVbwZADcPj8NCsEW7BBSll4qTbv1LvGa9vNZtukqydHpPOQjTup8Wo9shvU-PegeIJnAzC3FZnILqgGvP0og5uM=',"🪂 El Museo Thyssen-Bornemisza, una joya del Impresionismo en el paseo del Prado https://t.co/bwIL2GnNEI",b'gAAAAABkk1GUJPVr82ifG4f3K37ktIoRh4ItlszvpJK3OHsDIiL3M-b-9he8wnnAitBJvI7GrAuDYC5yAkx6jIJ2VVNvCUvbfg==',50064
b'gAAAAABkk1GU7qYFxGIYgd9ARqLUNBMsbszRLAnIQoKWgY9lIc64R2cCZiWAvftVKrejIE75qnHIe899cjTT_wXnH3AO235NwWwAiX4qk_QsQEOD0Qxafho=',@Elpoliticonews Hay personas que no entienden según que terminología o conceptos y comprometido con la #EducaciónFinanciera publiqué un artículo donde se explica que es #DeFi \nhttps://t.co/zaQiygAqom,b'gAAAAABkk1GUjO3pSlp37PU-KPh4iqW6ufmVHEJECACf5k3lcW_Dtbzm_s3UM0pI8C8NGrfQBz26-tR9thgdTdJTpowbe6VAIDyvj4N_CIqD2xmxsIyCJyI=',556
b'gAAAAABkk1GUYEiA6Dz4BR7XdMWpGArEcEkHO5aKZl0WDjQ91wsI1ab9bm8TP9bTEKNzyKBilLATJkIeyTUNy0NTvqmtM3RfrDjGLVD3UoiIWvzX0v45GBE=',@adara_sanchez @trimm_trabb Me gustó mucho pero me extraña que no la elogie más,b'gAAAAABkk1GUXOuuQUKGNtUuQiMXJFiee-4edwJlqOJ6zKJ76So70IKTyDkikHRVqIBw-M7ET_kjjefYi19gpJwk03lmMtxtIg==',2399
b'gAAAAABkk1GUnplK5SSu7nFKgK2Kkvu1zst1auF7Cv3Tf3rUwbvs_nBW-91DqbakT-VmID8xCcD4v4zIjSHCP7EkhwEPprBmhYK50yeJ0d9u1-Wv4gbQ2kw=',@derteros Has pensao ya cuando y como vas a ir cielo? A ver si me cuentas uwu,b'gAAAAABkk1GUzmIghDqz-NEIZJZo0Xqp5KaL3W4F2DyPtX6TnJhmnKwYflriQGqB6lBsNbZ1vpksUCXYXStV_sb7dWFsjWqrAX4xtxZ2srBibOGFPoQsBuU=',457
b'gAAAAABkk1GUrg296FG0FLc7YhbmyJTkENoZL3_aWQU8_W0hCvwn2FNTWgkEisTj28eVmQkx1R7h0ysf0EwKAaiAKfBmvNGuQh1N7t47FbqfJAxu0hwJVvY=',🔅 Corea del Norte: Un país aislado y restringido de las noticias del mundo https://t.co/1JmQrMketp,b'gAAAAABkk1GUCuQD82oCU2hc84QvJuqKssWdlCCCVk3FN7LOyqN38CUXHNSe-KS1Hhy2mwC0oeBI9UfYF-B0C2F12DfI8i4wEg==',76932
b'gAAAAABkk1GUTLmyqDsX8XftM6fS8_S8Lx8_a0sgudfncmExh-ooPMOFRTOr6xtTn_HU6ItmAz2WCrshh6p8_41VnFnjEdVRWEzCZ0FTkrN7KvbZ5W9LFXs=',"¿Me ayudáis, porfi? \nNecesito un perfil de un entrenador personal que haya trabajado para un club, o con jugadores de esport, o sino con streamers. Es para una charla remunerada.",b'gAAAAABkk1GUwrNwPhBYzsiizovglTlSRrjbBfPPXABl2fGyQkKLPB6aCZM7_2t-XHgvVkuv4i7C6vtzYYqqRZ1jAkKmasqLQg==',15708
b'gAAAAABkk1GUB2gUwsSErSSr2P7OV8RhzHPt6BuhoIL_ogprTzQcDJ039gtBwqQ8jTWi_Z3r5JJ1qrivnPA1OPriEBo6mLoiwdEWlHmNrMmtj2go90YSiDg=',🚧 50 años de la primera llamada móvil: cómo Martin Cooper cambió el mundo de las comunicaciones https://t.co/QmCUuh8fYy,b'gAAAAABkk1GUNp-Cppgt8q2qS0Gab-CTJi8mcJ3e6lxtlf3rpRJnf1bI2TbmTjvx_vRcF2-hXHIlU2nk1V5AOxau3XB5gvpW4FCG99sWnhW8Xzsjeci2tVY=',66331
b'gAAAAABkk1GUP0TY_SzvLCYf5YwqNKeVl1N2KiuuHuxVQVSqcX_u0TZmAD8OWfgC48MK3evC2eKuSfXYz_XkzCPP-_Z-1CYbUHZywrMm-7OiU327og3jOLs=',@marcomes61 @Triplerebotao @PODEMOS Y si no quieres que te digan verdades a la cara no intervengas que esta pregunta no era para suciolistos,b'gAAAAABkk1GUrTLk9EkT5bVp0n_vUjtm8vj6MuD-j61sVMjgMca836ehoUcCDbVrABq_YgwL7R4udswrBnDgw5SHT-kLG7nsRjG_yshYIhafHUe2p5Qcav8=',824
b'gAAAAABkk1GU_YJ0Q0PwRJ4MMHlz-igIF85yqAEAXGMqIYYdoCxer3yOuzFw2smkh_NzFpL30lAZvcIQMVG-ZjZKsxEzc5n7adyjGCd4kMWHNTKsqnNKxDY=',"🌱 #LEKALEAK | Producción local de harinas de legumbre para alimentos #plantbased\n\n🔹Lidera #UAGA; participan #BasqueFoodCluster, #Delicass, Sociedad Alternativa de Cultivos Alaveses, @leartiker y @neiker_BRTA\n\nFinancian: fondos FEADER (UE) y @Gob_eus \n\n➕https://t.co/mdnQpwnBA2 https://t.co/46Etb0OLQh",b'gAAAAABkk1GUuqe7P5ddV0Usi4hxmyuiVePqyF5ADh2N_X5eJU5eXmou5aH4URmxMawRZe4HXYO0_u0WxKJZeBN_VvcXOKP3u5Nyb1JqAHhV-L2izcLj9FE=',1005
b'gAAAAABkk1GUAvDgLaKjYyYe6ezaeeT2GPKa2Xo7W9bau_pwLaI7_Tl7k5AETl7nfflTU6onGUW4YaEhMTlUn0j2NcMeML9lIQB27hUKBI2zDUi9fAZfEec=',"@ImSeudo A lo mejor se te va gran parte de presupuesto en glifosato o herbicidas, 🤬",b'gAAAAABkk1GUTtZwAyCWYvOF9nY3TEQLU2_IFJHPDB3E9EgyZAPTDkEgmK1aNwUwndXUoEWWSHVMTnOlZpzowicuhbqOdgTYGrJ_X3rLQBzqq9XHfZHPbWs=',510
b'gAAAAABkk1GUzVrf1y_Jqe2QiIpXjDSPObSPRm93em7tokLdUcmrcC6qiYDF_CrtkcWiEPEeiMxpy9a_ZZzCbGXsJJZJ0fo2LYpNzab5UUVI9-c-YrStYNw=',@Verindipity Que bien!! Amo a las dos! A mi me toco rapunzel,b'gAAAAABkk1GUyLqqzid5qRXb6O1DPxKyrxqyUpVa-DJEKFAsbP4eEqBIC1qHe2_5290I2mkY3C_uksvzLZukvNW5kjANuBY2fQZaNILm0ibvFu3gZEI6j7Q=',4454
b'gAAAAABkk1GU63L4vGzhaItgKgQ_c5BBxH9frODGWLEKzdFRusf55W0mPA3AzIwdkL2AaPudE8hb2KFrhMAf2RVxZgGbeJMFOedO0MIByT6JxT1cdDxCiC0=',"Bueno, al menos no es una filtración a una semana de una hipotética final de uwcl 😑 https://t.co/7oKmgHC3Xv",b'gAAAAABkk1GUaW6qS3Hdx6lEo5H0Qr6Feg9knUVncDUrTgK3_UMNeWsLiWkCkwbP3Hf_h0BW0r68hp2f55iIzQVo8OjWq8c6PYYmZLZ2THJenIlzY0cH5ys=',205
b'gAAAAABkk1GUZXcP5SeZINSwa_giWklwo6Mw88GKh35DkpAQqgDwPAwF08Mxvcgo_7KtngDMULXE_k8Ang8B2-mpjve_ZyCS80lCWfb4fmk6cEpfxHXY2w8=',📣 Los efectos positivos de practicar la caminata nórdica https://t.co/2uunY27LUB,b'gAAAAABkk1GUPtX7Gm9JJtSWNFVFvijjDHonqLPEjriGbIT7rwxvXDJevN79kuLq9-BYVU4vFmoNtVoQJvWSgxkwh_qxD0Ka5g==',76932
b'gAAAAABkk1GUfZHMjuUfg3FA0ywzEHjAhqMvOrJYp9vTFuoAxgttO8I9sJOVgjUSjsYFhs0-2vIXLrMpDo8Kjy01Eder0Q25mNjOeNnwiI2gjB3zA-AgT64=',@Basilio_rm @AlexChiner No hay que mezclar política y deporte.,b'gAAAAABkk1GUW3bydL5pl5iGFE1RL_EXodEzTZ-6o9f1gpIfifQpRLxuzgJM7zIM-z5wCvCo7L6RkufXWQMSsi2jZnqR4wCrVg==',895
